,Competitor,Actual,Predicted,Difference
0,Usain BOLT,9.58,9.48,0.09977687296774818
5,Tyson GAY,9.68,9.61,0.07496665789818735
1,Yohan BLAKE,9.69,9.62,0.07479951544173424
119,Michael HERRERA,9.7,9.63,0.07261872024837146
7,André DE GRASSE,9.69,9.62,0.07238641385935729
8,Obadele THOMPSON,9.69,9.62,0.07224061790772218
123,Donovan POWELL,9.7,9.63,0.07166726046156313
273,Osvaldo LARA,9.7,9.63,0.07077887002075123
463,Rod MAPSTONE,9.7,9.63,0.06939995483082129
625,Sayon COOPER,9.7,9.63,0.06861394825529032
3,Asafa POWELL,9.72,9.65,0.06828490861076375
4,Justin GATLIN,9.74,9.68,0.06389905991516898
16,Richard THOMPSON,9.74,9.68,0.061816864755346757
13,Darvis PATTON,9.75,9.69,0.06023337542191065
6,Christian COLEMAN,9.76,9.7,0.0598366177313121
14,Trayvon BROMELL,9.76,9.7,0.05826265961867705
35,Churandy MARTINA,9.76,9.7,0.0571122669860209
9,Nesta CARTER,9.78,9.72,0.05576627603196194
15,Ronnie BAKER,9.78,9.72,0.05502757146592785
23,Maurice GREENE,9.78,9.73,0.05446619752452797
41,Carl LEWIS,9.78,9.73,0.05368019094899523
403,Chinedu ORIALA,9.8,9.75,0.05228617602477037
37,Andre CASON,9.79,9.74,0.05203725195142539
408,Ron CLARK,9.8,9.75,0.05182563930566708
12,Steve MULLINGS,9.8,9.75,0.051775994016010074
391,Henry VIZCAÍNO,9.8,9.75,0.05154747145873628
401,David LESCAY,9.8,9.75,0.05150211441081076
405,Nicholas IMHOAPERAMHE,9.8,9.75,0.05141938780517208
19,Michael RODGERS,9.8,9.75,0.051234277334252454
27,Terrance LAIRD,9.8,9.75,0.05074569754670577
771,Hasely CRAWFORD,9.8,9.75,0.05046481918860657
42,Walter DIX,9.8,9.75,0.050417517179109694
772,Steve WILLIAMS,9.8,9.75,0.05035172177815461
1199,Shane HEARN,9.8,9.75,0.04924941224838264
1757,Yoshitaka ITO,9.8,9.75,0.047773166984498516
40,Akani SIMBINE,9.82,9.77,0.04726233323245488
46,Isiah YOUNG,9.82,9.77,0.04711653728081977
66,Remontay MCCLAIN,9.82,9.77,0.04614931015751189
38,Derrick ATKINS,9.83,9.78,0.04576644876475022
21,Bruny SURIN,9.84,9.79,0.04507402672235905
20,Donovan BAILEY,9.84,9.8,0.04464968014899462
146,Leonard SCOTT,9.83,9.79,0.043159468127853984
93,Ben Youssef MEITÉ,9.84,9.8,0.04279289871668901
25,Leroy BURRELL,9.85,9.81,0.04257664164107133
112,Francis OBIKWELU,9.84,9.8,0.04231930517225635
24,Olusoji Adetokunbo FASUBA,9.85,9.81,0.04225157010323066
63,Frank FREDERICKS,9.85,9.81,0.04181633485382186
61,Kemar HYMAN,9.85,9.81,0.04167442882533123
67,Charles SILMON,9.85,9.81,0.041512865537196575
90,Travis PADGETT,9.85,9.81,0.041462071923143995
78,Keston BLEDMAN,9.85,9.81,0.04134741232591921
32,Ato BOLDON,9.86,9.82,0.041183506588424734
31,Divine ODUDURU,9.86,9.82,0.04093921669465139
103,Dennis MITCHELL,9.85,9.81,0.04093456039111132
34,Jimmy VICAUT,9.86,9.82,0.04082379154782956
33,Michael NORMAN,9.86,9.82,0.040545240926100234
64,Shawn CRAWFORD,9.86,9.82,0.04010007322490772
83,Rakieem SALAAM,9.86,9.82,0.039888099097519
91,Michael FRATER,9.86,9.82,0.03978571523223806
97,Diondre BATSON,9.86,9.82,0.03964186424217431
43,Linford CHRISTIE,9.87,9.83,0.03959563420331236
109,Noah LYLES,9.86,9.82,0.03928253197637943
65,Tevin HESTER,9.87,9.83,0.03851998068608431
72,Michael MARSH,9.87,9.83,0.03851414580136847
98,Yoshihide KIRYU,9.87,9.83,0.037913249696757134
154,Calvin SMITH,9.87,9.83,0.0373495480189856
50,Ryan BAILEY,9.88,9.84,0.03712328681938537
94,Reece PRESCOD,9.88,9.84,0.036925916160312156
88,James SANFORD,9.88,9.84,0.03672931105083421
113,Darrel BROWN,9.88,9.84,0.03638458225335128
129,Patrick JOHNSON,9.88,9.84,0.03621523911893121
131,Ivory WILLIAMS,9.88,9.84,0.036071388128867454
185,Albert ROBINSON,9.88,9.84,0.0357093453519024
157,Coby MILLER,9.88,9.84,0.035661645023816746
758,Edel Rogelio AMORES,9.9,9.86,0.03558755019827764
55,Ngonidzashe MAKUSHA,9.89,9.85,0.035537545942972315
169,Tim HARDEN,9.88,9.84,0.035464657139542055
1060,Víctor A. GONZÁLEZ,9.9,9.86,0.03500886227739208
1009,Gary RYAN,9.9,9.87,0.034907243961709966
1068,Cruz Rolando PALACIOS,9.9,9.87,0.034878052568871
1095,Luis Alexander REYES,9.9,9.87,0.034546747827727486
1080,Joseph BATANGDON,9.9,9.87,0.03446985610680464
1090,Salaam GARIBA,9.9,9.87,0.03437136216466641
148,Patrick JARRETT,9.89,9.86,0.034355618637317065
60,Nickel ASHMEADE,9.9,9.87,0.034288635559027725
177,Ryan SHIELDS,9.89,9.86,0.034233194737593564
1087,Ronnie Ray SMITH,9.9,9.87,0.034159388037277694
521,William SNODDY,9.87,9.84,0.03403850631881156
170,Henrico BRUINTJIES,9.89,9.86,0.03399512250333636
1081,Kastytis KLIMAS,9.9,9.87,0.033959674098044346
1069,Aleksandr AKSININ,9.9,9.87,0.03379422088676698
194,Raymond STEWART,9.89,9.86,0.03379308082773136
124,Bingtian SU,9.9,9.87,0.0337907292822095
1473,Hank PALMER,9.9,9.87,0.033485697778811385
134,Jarrion LAWSON,9.9,9.87,0.0333860399684891
122,Ameer WEBB,9.9,9.87,0.033335230810646266
135,Lerone CLARKE,9.9,9.87,0.033217079608865774
1566,Bill GAINES,9.9,9.87,0.03319021595239846
133,Jeff DEMPS,9.9,9.87,0.0331697775993689
69,Daniel BAILEY,9.91,9.88,0.03306212612180914
1688,John CARLOS,9.9,9.87,0.032925487705597334
151,Paulo André CAMILO DE OLIVEIRA,9.9,9.87,0.03287818569609868
1721,Derrick THOMPSON,9.9,9.87,0.032763924417462675
1728,Dean CAPOBIANCO,9.9,9.87,0.03276197945589132
2111,Willie DECKARD,9.9,9.87,0.03266271996415426
80,Zharnel HUGHES,9.91,9.88,0.03263583458687336
1796,Ivory CROCKETT,9.9,9.87,0.03263000587918263
1806,Robert TAYLOR,9.9,9.87,0.03263000587918263
1800,Ed PRESTON,9.9,9.87,0.03259847120618531
