,Rank,Mark,Wind,Competitor,Gender,Age,Country,Position,Venue,Date,Result Score,Age of competition,mps,kmh
19997,1,10.49,0.0,Florence GRIFFITH-JOYNER,2,62.0,USA,1,"Indianapolis, IN (USA)",16-07-1988,1314,29.0,9.532888465204957,34.31839847473785
20040,1,9.58,0.9,Usain BOLT,1,35.0,JAM,1,"Olympiastadion, Berlin (GER)",16-08-2009,1356,23.0,10.438413361169102,37.57828810020877
43688,3,9.68,4.1,Tyson GAY,1,39.0,USA,1,"Eugene, OR (USA)",29-06-2008,1295,26.0,10.330578512396695,37.190082644628106
2081,4,9.69,5.0,Obadele THOMPSON,1,45.0,BAR,1,"El Paso, TX (USA)",13-04-1996,1286,20.0,10.319917440660475,37.15170278637771
11236,4,9.69,-0.1,Yohan BLAKE,1,32.0,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23-08-2012,1316,23.0,10.319917440660475,37.15170278637771
40103,4,9.69,4.8,André DE GRASSE,1,27.0,CAN,1,"Olympiastadion, Stockholm (SWE)",18-06-2017,1288,23.0,10.319917440660475,37.15170278637771
13502,6,10.64,1.2,Carmelita JETER,2,42.0,USA,1,Shanghai (CHN),20-09-2009,1280,30.0,9.398496240601503,33.83458646616541
36143,7,10.65,1.1,Marion JONES,2,46.0,USA,1,"SGJ, Johannesburg (RSA)",12-09-1998,1277,23.0,9.389671361502348,33.80281690140845
15590,10,9.72,0.2,Asafa POWELL,1,39.0,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02-09-2008,1305,26.0,10.288065843621398,37.03703703703704
6215,10,10.7,0.3,Elaine THOMPSON,2,29.0,JAM,1,Kingston (JAM),01-07-2016,1266,24.0,9.345794392523365,33.64485981308412
9351,10,10.7,0.6,Shelly-Ann FRASER-PRYCE,2,35.0,JAM,1,Kingston (JAM),29-06-2012,1266,26.0,9.345794392523365,33.64485981308412
46494,13,9.74,5.0,Richard THOMPSON,1,36.0,TTO,1,"Clermont, FL (USA)",31-05-2014,1268,29.0,10.266940451745379,36.96098562628337
41489,13,9.74,0.9,Justin GATLIN,1,39.0,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15-05-2015,1298,33.0,10.266940451745379,36.96098562628337
53010,16,9.75,4.3,Darvis PATTON,1,44.0,USA,1,"Austin, TX (USA)",30-03-2013,1269,36.0,10.256410256410257,36.92307692307693
54305,24,9.76,6.1,Churandy MARTINA,1,37.0,AHO,1,"El Paso, TX (USA)",13-05-2006,1255,22.0,10.245901639344263,36.885245901639344
41064,24,9.76,3.7,Trayvon BROMELL,1,26.0,USA,1,"Hayward Field, Eugene, OR (USA)",26-06-2015,1269,20.0,10.245901639344263,36.885245901639344
12268,24,10.72,1.6,Sha'Carri RICHARDSON,2,21.0,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",10-04-2021,1262,21.0,9.328358208955223,33.582089552238806
48442,24,9.76,0.6,Christian COLEMAN,1,25.0,USA,1,"Khalifa International Stadium, Doha (QAT)",28-09-2019,1291,23.0,10.245901639344263,36.885245901639344
9524,24,10.72,3.2,Tori BOWIE,2,31.0,USA,1,"Hayward Field, Eugene, OR (USA)",26-06-2015,1243,25.0,9.328358208955223,33.582089552238806
53161,24,10.72,4.5,Tawanna MEADOWS,2,35.0,USA,1,"Lubbock, TX (USA)",06-05-2017,1235,31.0,9.328358208955223,33.582089552238806
42585,24,10.72,2.7,Blessing OKAGBARE-IGHOTEGUONOR,2,33.0,NGR,1,"Austin, TX (USA)",31-03-2018,1246,30.0,9.328358208955223,33.582089552238806
34260,34,10.73,2.0,Christine ARRON,2,48.0,FRA,1,"Népstadion, Budapest (HUN)",19-08-1998,1259,25.0,9.319664492078285,33.550792171481824
6166,34,10.73,3.0,Elaine THOMPSON-HERAH,2,29.0,JAM,1,"Jamaica College Ashenheim Stadium, Kingston (JAM)",25-07-2020,1241,28.0,9.319664492078285,33.550792171481824
40485,39,10.74,1.3,Merlene OTTEY,2,61.0,JAM,1,"Arena Civica, Milano (ITA)",07-09-1996,1257,36.0,9.31098696461825,33.5195530726257
18509,39,10.74,1.0,English GARDNER,2,29.0,USA,1,"Hayward Field, Eugene, OR (USA)",03-07-2016,1257,24.0,9.31098696461825,33.5195530726257
58581,39,10.5,,Daniel VILLAREAL,2,,MEX,1,Monterrey (MEX),25-04-2009,1257,,9.523809523809524,34.285714285714285
30586,45,9.78,2.4,Ronnie BAKER,1,28.0,USA,1,"Hayward Field, Eugene, OR (USA)",26-05-2018,1269,25.0,10.224948875255624,36.80981595092025
57864,45,9.78,5.2,Carl LEWIS,1,60.0,USA,1,"Indianapolis, IN (USA)",16-07-1988,1252,27.0,10.224948875255624,36.80981595092025
16320,45,9.78,3.7,Maurice GREENE,1,47.0,USA,1,"Palo Alto, CA (USA)",31-05-2004,1261,30.0,10.224948875255624,36.80981595092025
38666,45,9.78,0.9,Nesta CARTER,1,36.0,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",29-08-2010,1283,25.0,10.224948875255624,36.80981595092025
30179,48,10.75,0.1,Kerron STEWART,2,37.0,JAM,2,"Olympiastadion, Berlin (GER)",17-08-2009,1255,25.0,9.30232558139535,33.48837209302326
21497,53,9.79,4.5,Andre CASON,1,52.0,USA,1,"Eugene, OR (USA)",16-06-1993,1253,24.0,10.21450459652707,36.77221654749746
11620,56,10.76,3.4,Marshevet HOOKER,2,37.0,USA,1,"Eugene, OR (USA)",27-06-2008,1233,24.0,9.29368029739777,33.457249070631974
30949,56,10.76,1.1,Veronica CAMPBELL-BROWN,2,39.0,JAM,1,"Mestský Stadion, Ostrava (CZE)",31-05-2011,1253,29.0,9.29368029739777,33.457249070631974
32483,56,10.76,1.7,Evelyn ASHFORD,2,64.0,USA,1,Zürich (SUI),22-08-1984,1253,27.0,9.29368029739777,33.457249070631974
25286,65,10.77,0.7,Ivet LALOVA-COLLIO,2,37.0,BUL,1,Plovdiv (BUL),19-06-2004,1251,20.0,9.285051067780874,33.42618384401115
58363,65,10.77,2.3,Katerina THANOU,2,46.0,GRE,1,Rethymno (GRE),28-05-1999,1238,24.0,9.285051067780874,33.42618384401115
22994,65,10.77,2.3,Gail DEVERS,2,55.0,USA,1,San José (USA),28-05-1994,1238,28.0,9.285051067780874,33.42618384401115
17541,65,10.77,0.9,Irina PRIVALOVA,2,53.0,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06-07-1994,1251,26.0,9.285051067780874,33.42618384401115
661,67,9.8,4.1,Walter DIX,1,35.0,USA,2,"Eugene, OR (USA)",29-06-2008,1252,22.0,10.204081632653061,36.734693877551024
14963,67,9.8,2.4,Michael RODGERS,1,36.0,USA,1,"Sacramento, CA (USA)",27-06-2014,1262,29.0,10.204081632653061,36.734693877551024
3869,67,9.8,1.3,Steve MULLINGS,1,39.0,JAM,1,"Hayward Field, Eugene, OR (USA)",04-06-2011,1276,29.0,10.204081632653061,36.734693877551024
36037,67,9.8,3.2,Terrance LAIRD,1,23.0,USA,1,"Cushing Stadium (Texas A&M), College Station, TX (USA)",15-05-2021,1257,23.0,10.204081632653061,36.734693877551024
3271,73,10.78,1.0,Tianna BARTOLETTA,2,36.0,USA,2,"Hayward Field, Eugene, OR (USA)",03-07-2016,1248,31.0,9.27643784786642,33.39517625231912
8440,73,10.78,1.0,Dawn SOWELL,2,55.0,USA,1,"Provo, UT (USA)",03-06-1989,1248,23.0,9.27643784786642,33.39517625231912
822,73,10.78,1.8,Torri EDWARDS,2,44.0,USA,1,"Eugene, OR (USA)",28-06-2008,1248,31.0,9.27643784786642,33.39517625231912
1731,73,10.78,3.3,Muna LEE,2,40.0,USA,2,"Eugene, OR (USA)",26-06-2009,1229,28.0,9.27643784786642,33.39517625231912
16694,73,10.78,1.6,Murielle AHOURÉ,2,34.0,CIV,1,"Montverde, FL (USA)",11-06-2016,1248,29.0,9.27643784786642,33.39517625231912
36861,73,10.78,5.0,Gwen TORRENCE,2,56.0,USA,1,"Indianapolis, IN (USA)",16-07-1988,1218,23.0,9.27643784786642,33.39517625231912
18619,86,9.82,2.8,Akani SIMBINE,1,28.0,RSA,1,"Bestmed Tuks Stadium, Pretoria (RSA)",15-04-2021,1253,28.0,10.183299389002036,36.65987780040734
18751,86,9.82,4.9,Remontay MCCLAIN,1,29.0,USA,1,"Hayward Field, Eugene, OR (USA)",25-06-2015,1240,23.0,10.183299389002036,36.65987780040734
50313,86,9.82,3.0,Isiah YOUNG,1,31.0,USA,1,"Clermont, FL (USA)",16-05-2015,1251,25.0,10.183299389002036,36.65987780040734
36729,95,10.79,-0.1,Inger MILLER,2,49.0,USA,2,"La Cartuja, Sevilla (ESP)",22-08-1999,1246,27.0,9.267840593141798,33.36422613531048
19279,95,10.79,3.3,Marlies GÖHR,2,63.0,GDR,1,Cottbus (GER),16-07-1980,1227,22.0,9.267840593141798,33.36422613531048
50468,95,10.79,0.0,Xuemei LI,2,44.0,CHN,1,Shanghai (CHN),18-10-1997,1246,20.0,9.267840593141798,33.36422613531048
23565,102,9.83,7.1,Leonard SCOTT,1,41.0,USA,1,"Knoxville, TN (USA)",09-04-1999,1224,19.0,10.17293997965412,36.622583926754835
50421,102,9.83,2.2,Derrick ATKINS,1,37.0,BAH,2,"Icahn Stadium (Fordham), New York, NY (USA)",02-06-2007,1253,23.0,10.17293997965412,36.622583926754835
30093,107,10.8,2.9,Pam MARSHALL,2,61.0,USA,1,"Eugene, OR (USA)",20-06-1986,1227,26.0,9.25925925925926,33.333333333333336
29968,107,10.8,2.8,Heike DRECHSLER,2,57.0,GDR,1,Oslo (NOR),05-07-1986,1228,22.0,9.25925925925926,33.333333333333336
29880,112,9.84,0.7,Donovan BAILEY,1,54.0,CAN,1,"Olympic Stadium, Atlanta, GA (USA)",27-07-1996,1262,29.0,10.16260162601626,36.58536585365854
37080,112,9.84,0.2,Bruny SURIN,1,54.0,CAN,2,"La Cartuja, Sevilla (ESP)",22-08-1999,1262,32.0,10.16260162601626,36.58536585365854
17012,112,9.84,5.4,Francis OBIKWELU,1,43.0,POR,1,Zaragoza (ESP),03-06-2006,1230,28.0,10.16260162601626,36.58536585365854
38778,112,9.84,4.8,Ben Youssef MEITÉ,1,35.0,CIV,2,"Olympiastadion, Stockholm (SWE)",18-06-2017,1234,31.0,10.16260162601626,36.58536585365854
31371,120,10.81,-0.3,Dafne SCHIPPERS,2,29.0,NED,2,"National Stadium, Beijing (CHN)",24-08-2015,1243,23.0,9.250693802035153,33.30249768732655
20698,120,10.81,3.6,Jenna PRANDINI,2,29.0,USA,1,"Hayward Field, Eugene, OR (USA)",02-07-2016,1221,24.0,9.250693802035153,33.30249768732655
44560,134,9.85,3.6,Keston BLEDMAN,1,33.0,TTO,1,"Clermont, FL (USA)",02-06-2012,1238,24.0,10.152284263959391,36.548223350253814
38435,134,9.85,3.0,Kemar HYMAN,1,32.0,CAY,1,San José (CRC),07-08-2015,1241,26.0,10.152284263959391,36.548223350253814
35353,134,9.85,4.1,Travis PADGETT,1,35.0,USA,4,"Eugene, OR (USA)",29-06-2008,1235,22.0,10.152284263959391,36.548223350253814
43165,134,9.85,1.7,Olusoji Adetokunbo FASUBA,1,37.0,NGR,1,Doha (QAT),12-05-2006,1259,22.0,10.152284263959391,36.548223350253814
52608,134,9.85,3.2,Charles SILMON,1,30.0,USA,1,"Drake Stadium, Des Moines, IA (USA)",21-06-2013,1240,22.0,10.152284263959391,36.548223350253814
21697,134,9.85,4.8,Dennis MITCHELL,1,55.0,USA,2,"Eugene, OR (USA)",17-06-1993,1231,27.0,10.152284263959391,36.548223350253814
19822,134,9.85,1.2,Leroy BURRELL,1,54.0,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06-07-1994,1259,27.0,10.152284263959391,36.548223350253814
55496,134,9.85,3.0,Frank FREDERICKS,1,54.0,NAM,1,Nairobi (KEN),18-05-2002,1241,35.0,10.152284263959391,36.548223350253814
48815,139,10.82,-0.3,Zhanna BLOCK,2,49.0,UKR,1,"Commonwealth Stadium, Edmonton (CAN)",06-08-2001,1240,29.0,9.242144177449168,33.271719038817004
41981,139,10.82,0.9,Michelle-Lee AHYE,2,29.0,TTO,1,Port-of-Spain (TTO),24-06-2017,1239,25.0,9.242144177449168,33.271719038817004
21112,139,10.82,2.2,Silke MÖLLER,2,57.0,GDR,1,"Stadio Olimpico, Roma (ITA)",30-08-1987,1226,23.0,9.242144177449168,33.271719038817004
37904,139,10.82,-0.7,Sherone SIMPSON,2,37.0,JAM,1,Kingston (JAM),24-06-2006,1243,22.0,9.242144177449168,33.271719038817004
43855,159,10.83,-1.0,Juliet CUTHBERT,2,57.0,JAM,2,"Estadio Olímpico, Barcelona (ESP)",01-08-1992,1243,28.0,9.233610341643583,33.2409972299169
26109,159,10.83,1.7,Marita KOCH,2,64.0,GDR,2,Berlin (GER),08-06-1983,1237,26.0,9.233610341643583,33.2409972299169
52877,159,10.83,0.1,Dina ASHER-SMITH,2,26.0,GBR,2,"Khalifa International Stadium, Doha (QAT)",29-09-2019,1237,24.0,9.233610341643583,33.2409972299169
55682,159,10.83,3.9,Sheila ECHOLS,2,57.0,USA,1,"Indianapolis, IN (USA)",16-07-1988,1214,24.0,9.233610341643583,33.2409972299169
13829,159,10.83,4.5,Candyce MCGRONE,2,32.0,USA,2,"Lubbock, TX (USA)",06-05-2017,1210,28.0,9.233610341643583,33.2409972299169
