,Rank,Mark,Wind,Competitor,Gender,Age,Country,Position,Venue,Date,Result Score,Age of competition,mps,kmh,Age range,pos,m/s
1,1,9.58,0.9,Usain BOLT,1,35.0,JAM,1.0,"Olympiastadion, Berlin (GER)",16-08-2009,1356,23.0,10.4384133611691,37.57828810020877,30-45,1-3,10-10.5
4,4,9.69,-0.1,Yohan BLAKE,1,32.0,JAM,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",23-08-2012,1316,23.0,10.319917440660477,37.15170278637771,30-45,1-3,10-10.5
0,1,10.49,0.0,Florence GRIFFITH-JOYNER,2,62.0,USA,1.0,"Indianapolis, IN (USA)",16-07-1988,1314,29.0,9.532888465204957,34.31839847473785,46+,1-3,9.5-10
8,10,9.72,0.2,Asafa POWELL,1,39.0,JAM,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",02-09-2008,1305,26.0,10.288065843621398,37.03703703703704,30-45,1-3,10-10.5
12,13,9.74,0.9,Justin GATLIN,1,39.0,USA,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",15-05-2015,1298,33.0,10.26694045174538,36.96098562628337,30-45,1-3,10-10.5
2,3,9.68,4.1,Tyson GAY,1,39.0,USA,1.0,"Eugene, OR (USA)",29-06-2008,1295,26.0,10.330578512396695,37.1900826446281,30-45,1-3,10-10.5
17,24,9.76,0.6,Christian COLEMAN,1,25.0,USA,1.0,"Khalifa International Stadium, Doha (QAT)",28-09-2019,1291,23.0,10.245901639344263,36.885245901639344,18-29,1-3,10-10.5
5,4,9.69,4.8,André DE GRASSE,1,27.0,CAN,1.0,"Olympiastadion, Stockholm (SWE)",18-06-2017,1288,23.0,10.319917440660477,37.15170278637771,18-29,1-3,10-10.5
3,4,9.69,5.0,Obadele THOMPSON,1,45.0,BAR,1.0,"El Paso, TX (USA)",13-04-1996,1286,20.0,10.319917440660477,37.15170278637771,30-45,1-3,10-10.5
29,45,9.78,0.9,Nesta CARTER,1,36.0,JAM,1.0,"Stadio Guidobaldi, Rieti (ITA)",29-08-2010,1283,25.0,10.224948875255622,36.809815950920246,30-45,1-3,10-10.5
6,6,10.64,1.2,Carmelita JETER,2,42.0,USA,1.0,Shanghai (CHN),20-09-2009,1280,30.0,9.398496240601505,33.83458646616541,30-45,1-3,9-9.5
7,7,10.65,1.1,Marion JONES,2,46.0,USA,1.0,"SGJ, Johannesburg (RSA)",12-09-1998,1277,23.0,9.389671361502348,33.80281690140845,46+,1-3,9-9.5
41,67,9.8,1.3,Steve MULLINGS,1,39.0,JAM,1.0,"Hayward Field, Eugene, OR (USA)",04-06-2011,1276,29.0,10.20408163265306,36.734693877551024,30-45,1-3,10-10.5
13,16,9.75,4.3,Darvis PATTON,1,44.0,USA,1.0,"Austin, TX (USA)",30-03-2013,1269,36.0,10.256410256410255,36.92307692307693,30-45,1-3,10-10.5
15,24,9.76,3.7,Trayvon BROMELL,1,26.0,USA,1.0,"Hayward Field, Eugene, OR (USA)",26-06-2015,1269,20.0,10.245901639344263,36.885245901639344,18-29,1-3,10-10.5
26,45,9.78,2.4,Ronnie BAKER,1,28.0,USA,1.0,"Hayward Field, Eugene, OR (USA)",26-05-2018,1269,25.0,10.224948875255622,36.809815950920246,18-29,1-3,10-10.5
11,13,9.74,5.0,Richard THOMPSON,1,36.0,TTO,1.0,"Clermont, FL (USA)",31-05-2014,1268,29.0,10.26694045174538,36.96098562628337,30-45,1-3,10-10.5
10,10,10.7,0.6,Shelly-Ann FRASER-PRYCE,2,35.0,JAM,1.0,Kingston (JAM),29-06-2012,1266,26.0,9.345794392523365,33.64485981308412,30-45,1-3,9-9.5
9,10,10.7,0.3,Elaine THOMPSON,2,29.0,JAM,1.0,Kingston (JAM),01-07-2016,1266,24.0,9.345794392523365,33.64485981308412,18-29,1-3,9-9.5
40,67,9.8,2.4,Michael RODGERS,1,36.0,USA,1.0,"Sacramento, CA (USA)",27-06-2014,1262,29.0,10.20408163265306,36.734693877551024,30-45,1-3,10-10.5
59,112,9.84,0.7,Donovan BAILEY,1,54.0,CAN,1.0,"Olympic Stadium, Atlanta, GA (USA)",27-07-1996,1262,29.0,10.16260162601626,36.58536585365854,46+,1-3,10-10.5
60,112,9.84,0.2,Bruny SURIN,1,54.0,CAN,2.0,"La Cartuja, Sevilla (ESP)",22-08-1999,1262,32.0,10.16260162601626,36.58536585365854,46+,1-3,10-10.5
16,24,10.72,1.6,Sha'Carri RICHARDSON,2,21.0,USA,1.0,"Ansin Sports Complex, Miramar, FL (USA)",10-04-2021,1262,21.0,9.328358208955224,33.582089552238806,18-29,1-3,9-9.5
28,45,9.78,3.7,Maurice GREENE,1,47.0,USA,1.0,"Palo Alto, CA (USA)",31-05-2004,1261,30.0,10.224948875255622,36.809815950920246,46+,1-3,10-10.5
68,134,9.85,1.7,Olusoji Adetokunbo FASUBA,1,37.0,NGR,1.0,Doha (QAT),12-05-2006,1259,22.0,10.152284263959393,36.548223350253814,30-45,1-3,10-10.5
71,134,9.85,1.2,Leroy BURRELL,1,54.0,USA,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",06-07-1994,1259,27.0,10.152284263959393,36.548223350253814,46+,1-3,10-10.5
21,34,10.73,2.0,Christine ARRON,2,48.0,FRA,1.0,"Népstadion, Budapest (HUN)",19-08-1998,1259,25.0,9.319664492078283,33.550792171481824,46+,1-3,9-9.5
42,67,9.8,3.2,Terrance LAIRD,1,23.0,USA,1.0,"Cushing Stadium (Texas A&M), College Station, TX (USA)",15-05-2021,1257,23.0,10.20408163265306,36.734693877551024,18-29,1-3,10-10.5
24,39,10.74,1.0,English GARDNER,2,29.0,USA,1.0,"Hayward Field, Eugene, OR (USA)",03-07-2016,1257,24.0,9.31098696461825,33.5195530726257,18-29,1-3,9-9.5
23,39,10.74,1.3,Merlene OTTEY,2,61.0,JAM,1.0,"Arena Civica, Milano (ITA)",07-09-1996,1257,36.0,9.31098696461825,33.5195530726257,46+,1-3,9-9.5
30,48,10.75,0.1,Kerron STEWART,2,37.0,JAM,2.0,"Olympiastadion, Berlin (GER)",17-08-2009,1255,25.0,9.30232558139535,33.488372093023266,30-45,1-3,9-9.5
